Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,6.514084,10.907183,45.389139,0.997923,0.985268,0.982992,0.960663,0.983310,0.993342,0.779748,0.959997,0.980755,0.989358,100.000000,
43,6.514084,6.514084,45.403617,0.997827,0.985525,0.984370,0.960233,0.982697,0.993627,0.774289,0.959367,0.980596,0.989208,100.000000,
44,13.695920,13.695920,46.285828,0.998003,0.988828,0.987123,0.966865,0.988154,0.995348,0.795411,0.964869,0.983620,0.991208,100.000000,
45,6.846578,14.341790,46.281507,0.998310,0.988527,0.984849,0.965027,0.986974,0.996018,0.805406,0.967386,0.984162,0.991118,100.000000,
46,6.846578,6.846578,46.148030,0.998189,0.986978,0.984641,0.965401,0.984546,0.994579,0.804945,0.965210,0.983163,0.990614,100.000000,
47,8.593461,8.593461,45.045729,0.997799,0.984069,0.980055,0.959680,0.982908,0.992392,0.780387,0.956731,0.978533,0.987820,100.000000,
48,8.021997,8.953465,45.466413,0.997905,0.987253,0.983296,0.962368,0.984730,0.995628,0.784641,0.959553,0.980597,0.989435,100.000000,
49,8.021997,8.021997,45.238091,0.997764,0.983112,0.983131,0.960493,0.981064,0.990372,0.783508,0.955440,0.977421,0.986960,100.000000,
50,10.407051,10.407051,45.492143,0.997400,0.984969,0.985863,0.959833,0.980710,0.993619,0.780367,0.953678,0.977381,0.987181,100.000000,
51,12.207193,12.692225,45.301863,0.997263,0.983506,0.985826,0.954977,0.979442,0.992320,0.771762,0.950247,0.974595,0.984733,100.000000,
52,8.886876,12.207193,45.266674,0.997413,0.979525,0.983079,0.956363,0.973775,0.987592,0.773729,0.950794,0.974275,0.984563,100.000000,
53,8.264277,8.886876,45.357471,0.997494,0.982600,0.983992,0.958573,0.979653,0.990097,0.779564,0.954203,0.976984,0.986367,100.000000,
54,8.264277,8.264277,45.183874,0.997460,0.985260,0.981219,0.963887,0.984379,0.992417,0.771187,0.952779,0.976418,0.986446,100.000000,
55,9.754917,9.754917,44.992033,0.997263,0.985062,0.983392,0.957367,0.980376,0.994996,0.767032,0.948715,0.974645,0.985519,100.000000,
56,8.664452,11.194152,44.422696,0.997001,0.982958,0.977952,0.958091,0.976975,0.993893,0.748712,0.940554,0.969727,0.982425,100.000000,
57,8.664452,8.664452,43.874768,0.996726,0.974052,0.976561,0.954099,0.966585,0.983866,0.742432,0.932555,0.964328,0.979016,99.055382,
58,8.899406,8.899406,44.724168,0.996585,0.980067,0.980301,0.961399,0.970034,0.989928,0.752896,0.935625,0.966804,0.980870,100.000000,
59,12.165732,20.038914,47.655255,0.998144,0.987185,0.990749,0.967589,0.985320,0.992305,0.829612,0.965645,0.982790,0.990232,100.000000,
60,10.610443,12.165732,44.493154,0.996640,0.978630,0.977038,0.951563,0.975287,0.987885,0.757074,0.935398,0.965159,0.978736,100.000000,
61,10.610443,10.610443,44.190617,0.996773,0.976472,0.976486,0.949141,0.973377,0.985212,0.754119,0.931707,0.963104,0.978184,100.000000,
62,10.956891,10.956891,45.227955,0.996742,0.981552,0.983754,0.969046,0.973384,0.988397,0.774710,0.936850,0.966679,0.980691,100.000000,
63,9.612188,16.001425,45.500391,0.996846,0.983957,0.983105,0.975662,0.977496,0.989890,0.778320,0.939316,0.968513,0.981974,100.000000,
64,9.612188,9.612188,44.183979,0.996479,0.974587,0.979854,0.951114,0.966302,0.983934,0.755441,0.925660,0.958009,0.974057,99.594249,
65,15.665566,17.010242,47.228762,0.996861,0.986211,0.991944,0.979484,0.977319,0.991489,0.810163,0.946511,0.971564,0.983030,100.000000,
66,15.665566,15.665566,44.895297,0.996864,0.978182,0.981811,0.945554,0.973708,0.987901,0.767780,0.939322,0.967989,0.980786,100.000000,
67,9.328292,32.340832,47.583191,0.998109,0.990020,0.986519,0.980609,0.985208,0.995707,0.818259,0.970382,0.985532,0.991434,100.000000,
68,6.170446,9.328292,46.489358,0.997477,0.985208,0.984301,0.976256,0.981309,0.989853,0.799295,0.957650,0.977965,0.987025,99.918220,
69,6.170446,6.170446,45.064809,0.996999,0.984466,0.975650,0.964407,0.981097,0.993682,0.764040,0.947410,0.973134,0.984566,99.271658,
70,6.491627,6.491627,44.756537,0.996919,0.985095,0.971893,0.965561,0.983243,0.993662,0.753954,0.945940,0.972862,0.984493,99.764737,
71,7.681968,7.681968,45.170987,0.997049,0.988047,0.975758,0.963477,0.986857,0.997364,0.765353,0.948977,0.974499,0.985364,100.000000,
72,6.925014,10.557544,45.055500,0.996900,0.982562,0.973459,0.957133,0.978667,0.992648,0.757264,0.946454,0.973513,0.985157,99.819437,
73,6.925014,6.925014,44.507548,0.996725,0.979969,0.972176,0.958257,0.975682,0.989994,0.747366,0.941196,0.970218,0.983242,98.928031,
74,8.395442,8.395442,44.948291,0.996832,0.983196,0.973135,0.956041,0.979859,0.993878,0.753742,0.946370,0.973728,0.985302,100.000000,
75,9.925941,10.935153,45.423242,0.996930,0.983240,0.978434,0.963130,0.980434,0.991145,0.767219,0.950196,0.975265,0.985934,100.000000,
76,7.496150,9.925941,45.148784,0.996863,0.982740,0.976901,0.958225,0.981270,0.990785,0.760518,0.947337,0.973624,0.984985,100.000000,
77,7.194230,7.496150,45.154481,0.997153,0.981979,0.973593,0.961991,0.979908,0.990500,0.760318,0.951120,0.975983,0.986529,100.000000,
78,7.194230,7.194230,46.206347,0.997454,0.985770,0.977893,0.964017,0.983241,0.994333,0.787011,0.959617,0.980606,0.989212,100.000000,
79,4.742896,8.277560,46.189239,0.997515,0.984396,0.975772,0.961922,0.983490,0.992574,0.787635,0.960379,0.981035,0.989390,98.296512,
80,1.848460,4.742896,46.428710,0.997895,0.985289,0.978354,0.964202,0.984526,0.993229,0.793698,0.967196,0.984964,0.991758,95.182025,
81,1.848460,1.848460,46.314125,0.998017,0.984973,0.971864,0.966915,0.983412,0.994002,0.792832,0.967552,0.984952,0.991671,95.107440,
82,4.973935,4.973935,46.644393,0.997997,0.989781,0.979950,0.969755,0.990364,0.997248,0.802524,0.967136,0.984638,0.991520,100.000000,
83,5.070758,5.070758,46.889159,0.997925,0.987459,0.979427,0.965363,0.984662,0.996477,0.801871,0.967880,0.984887,0.991347,99.745071,
84,1.890688,7.776815,46.105863,0.997775,0.986120,0.974879,0.967845,0.985978,0.993653,0.782221,0.960871,0.980890,0.988992,94.992772,
85,1.890688,1.890688,46.129178,0.997684,0.983733,0.976427,0.962487,0.982243,0.992253,0.787206,0.959012,0.979887,0.988601,94.390219,
86,6.327651,6.327651,46.331667,0.997676,0.989472,0.977284,0.964706,0.990699,0.997966,0.792143,0.961999,0.981827,0.989837,100.000000,
87,6.650786,6.650786,46.228200,0.997604,0.986470,0.979078,0.964452,0.986039,0.994443,0.788239,0.960966,0.981215,0.989592,100.000000,
88,7.931174,9.087707,46.920576,0.997734,0.984827,0.978224,0.963821,0.982749,0.993197,0.804152,0.965320,0.983667,0.991089,100.000000,
89,4.991512,7.931174,46.520707,0.997590,0.985407,0.978575,0.964909,0.984758,0.993083,0.797673,0.962134,0.981900,0.989713,98.906877,
90,4.991512,4.991512,46.901520,0.997720,0.985071,0.979336,0.966483,0.982746,0.992950,0.804833,0.963694,0.982776,0.990409,98.940060,
91,8.038402,8.757463,46.793899,0.997712,0.984273,0.980555,0.960589,0.982616,0.992525,0.803379,0.962742,0.981918,0.989760,100.000000,
92,7.617883,8.038402,45.968252,0.997402,0.983069,0.974873,0.959285,0.979387,0.993048,0.781950,0.954705,0.977716,0.987060,100.000000,
93,5.592131,7.617883,45.779920,0.997493,0.982646,0.974606,0.959691,0.982376,0.991196,0.779058,0.954781,0.977835,0.987140,98.619654,
94,5.592131,5.592131,46.335628,0.997664,0.983193,0.975594,0.957755,0.981217,0.992987,0.789157,0.960972,0.981576,0.989655,99.138126,
95,9.070086,9.972812,46.941134,0.997565,0.983462,0.979696,0.959377,0.975991,0.994741,0.802312,0.962375,0.982215,0.990214,100.000000,
96,8.054770,9.070086,45.874503,0.997167,0.978025,0.976045,0.950962,0.972226,0.988712,0.780677,0.949246,0.974168,0.985149,100.000000,
97,8.054770,8.054770,45.776423,0.997376,0.982066,0.977270,0.961793,0.976992,0.991506,0.777483,0.950981,0.975214,0.985434,100.000000,
98,4.601142,36.509453,47.445874,0.998625,0.992896,0.987294,0.983303,0.992604,0.997096,0.819727,0.972304,0.986611,0.992422,100.000000,
99,4.601142,4.601142,44.539017,0.997272,0.981134,0.978374,0.960103,0.977071,0.990114,0.767545,0.941260,0.967428,0.980055,95.985988,
100,10.735648,11.559172,43.606956,0.996690,0.985448,0.976052,0.968318,0.981053,0.995198,0.737366,0.932937,0.964689,0.979605,100.000000,
101,5.309915,10.735648,43.377801,0.996367,0.981588,0.974899,0.958938,0.978662,0.991140,0.723590,0.928899,0.962571,0.978286,96.547612,
102,5.309915,5.309915,43.213927,0.996478,0.984075,0.977347,0.962229,0.982907,0.992498,0.720544,0.927961,0.961942,0.977751,97.014946,
103,4.912407,13.828978,43.866291,0.996817,0.986677,0.974406,0.972588,0.986243,0.993640,0.741535,0.937349,0.968309,0.982390,97.777555,
104,4.912407,4.912407,42.942425,0.996465,0.979228,0.967603,0.956767,0.974331,0.990778,0.718094,0.927461,0.962330,0.978568,95.554359,
105,13.749537,13.749537,44.086831,0.996659,0.987370,0.975836,0.965871,0.987307,0.995959,0.742741,0.936695,0.967430,0.981206,100.000000,
106,5.966052,16.565865,42.843865,0.996505,0.980362,0.970818,0.958998,0.977637,0.990200,0.721671,0.928875,0.962257,0.977909,97.032334,
107,5.966052,5.966052,42.654661,0.996161,0.982565,0.971043,0.959117,0.980500,0.992787,0.711272,0.925738,0.961671,0.978088,97.484751,
108,8.449114,12.500032,42.932611,0.996243,0.982814,0.971188,0.962542,0.981178,0.992500,0.721890,0.927464,0.961740,0.977488,100.000000,
109,8.449114,8.449114,42.573807,0.996087,0.980164,0.968167,0.954078,0.976529,0.991774,0.712711,0.924270,0.960402,0.977015,99.741706,
110,4.425893,8.675035,42.148845,0.996130,0.977085,0.961801,0.947230,0.974845,0.990310,0.705734,0.920600,0.958388,0.975902,94.090159,
111,4.425893,4.425893,42.080828,0.996316,0.975809,0.961605,0.950503,0.973021,0.988214,0.704172,0.921393,0.958860,0.976828,93.909033,
112,6.326634,6.326634,41.893513,0.995861,0.976133,0.964930,0.948314,0.973185,0.989070,0.702363,0.913136,0.953261,0.973077,95.722826,
113,12.095939,12.095939,43.736129,0.996044,0.983208,0.971355,0.962098,0.979663,0.993359,0.732522,0.928550,0.962939,0.978591,100.000000,
114,10.778772,18.578222,42.656112,0.995710,0.978573,0.964807,0.953585,0.975843,0.989533,0.708153,0.915867,0.954024,0.972328,100.000000,
