Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,44.216250,6.514084,10.907183,0.982708,0.980797,0.954686,0.983120,0.990245,0.996277,0.751022,0.934404,0.963895,0.977862,98.311697,
43,44.952136,6.514084,6.514084,0.987213,0.984077,0.960220,0.985922,0.995420,0.996797,0.761744,0.951777,0.976687,0.987240,100.000000,
44,44.390390,13.695920,13.695920,0.988015,0.986432,0.970750,0.984918,0.994616,0.995370,0.749667,0.933539,0.965269,0.979673,100.000000,
45,45.604293,6.846578,14.341790,0.987440,0.986150,0.965312,0.986204,0.993861,0.996800,0.791437,0.953953,0.976036,0.985525,100.000000,
46,45.139025,6.846578,6.846578,0.985168,0.985179,0.959434,0.983394,0.992921,0.996675,0.785604,0.945809,0.970452,0.981978,99.939178,
47,45.196705,8.593461,8.593461,0.983092,0.984733,0.958714,0.980981,0.990592,0.996730,0.786247,0.946639,0.970380,0.981787,100.000000,
48,46.600677,8.021997,8.953465,0.990501,0.987356,0.969711,0.990231,0.996478,0.997586,0.811224,0.968026,0.984539,0.991293,100.000000,
49,45.099563,8.021997,8.021997,0.982741,0.984443,0.961866,0.979672,0.989718,0.996665,0.784896,0.947238,0.971132,0.982511,100.000000,
50,45.592119,10.407051,10.407051,0.987410,0.986323,0.968123,0.986815,0.992999,0.996656,0.787625,0.950232,0.974340,0.985104,100.000000,
51,45.160391,12.207193,12.692225,0.986488,0.985853,0.962729,0.982254,0.994981,0.996426,0.779309,0.945318,0.970871,0.982464,100.000000,
52,46.295359,8.886876,12.207193,0.987788,0.985228,0.963023,0.986214,0.995508,0.997521,0.800245,0.964030,0.982351,0.989834,100.000000,
53,45.568168,8.264277,8.886876,0.983263,0.986482,0.963399,0.978731,0.990116,0.996633,0.786452,0.943549,0.968282,0.980374,100.000000,
54,45.265033,8.264277,8.264277,0.985368,0.985121,0.967177,0.983785,0.991139,0.996687,0.771991,0.946153,0.971372,0.983206,100.000000,
55,45.797036,9.754917,9.754917,0.984234,0.985991,0.962571,0.981099,0.990969,0.996645,0.788165,0.945849,0.969980,0.981475,100.000000,
56,46.217494,8.664452,11.194152,0.986797,0.986654,0.963549,0.982905,0.994955,0.997382,0.791303,0.960380,0.980280,0.988535,100.000000,
57,44.713635,8.664452,8.664452,0.980331,0.982101,0.960410,0.975985,0.988426,0.996398,0.763385,0.939648,0.967109,0.980049,100.000000,
58,45.879221,8.899406,8.899406,0.987011,0.986287,0.963774,0.983242,0.995160,0.996725,0.784810,0.951203,0.975512,0.986071,100.000000,
59,48.592786,12.165732,20.038914,0.991156,0.989123,0.976309,0.989935,0.996302,0.998256,0.848237,0.972281,0.986041,0.992065,100.000000,
60,45.454069,10.610443,12.165732,0.985148,0.983764,0.967656,0.981676,0.991902,0.996257,0.785616,0.942100,0.967215,0.979018,100.000000,
61,45.959555,10.610443,10.610443,0.986914,0.983962,0.968819,0.983943,0.993929,0.996814,0.794228,0.953056,0.974563,0.984215,100.000000,
62,45.267223,10.956891,10.956891,0.985338,0.985554,0.965280,0.981278,0.992386,0.995759,0.778053,0.931561,0.960693,0.975226,100.000000,
63,46.774220,9.612188,16.001425,0.989952,0.988235,0.972153,0.988250,0.995984,0.997095,0.805558,0.954194,0.976166,0.985483,100.000000,
64,45.091016,9.612188,9.612188,0.983538,0.984206,0.962260,0.981842,0.989761,0.996004,0.776285,0.933845,0.961090,0.974474,100.000000,
65,47.470504,15.665566,17.010242,0.988746,0.990896,0.980973,0.982338,0.994048,0.996547,0.818930,0.950804,0.973970,0.984681,100.000000,
66,45.619322,15.665566,15.665566,0.983304,0.985216,0.961883,0.977181,0.991441,0.996482,0.786347,0.944576,0.970192,0.981678,100.000000,
67,49.950699,9.328292,32.340832,0.994575,0.990283,0.987323,0.992165,0.998677,0.998705,0.877548,0.984258,0.992527,0.995733,100.000000,
68,47.784002,6.170446,9.328292,0.989075,0.987216,0.981815,0.986807,0.992609,0.997495,0.843101,0.966110,0.980697,0.987694,100.000000,
69,47.229293,6.170446,6.170446,0.992550,0.986531,0.984663,0.992228,0.996122,0.997208,0.827461,0.961521,0.978483,0.986546,100.000000,
70,48.384278,6.491627,6.491627,0.994338,0.988237,0.984913,0.995495,0.997295,0.998030,0.847692,0.977015,0.988634,0.993584,100.000000,
71,45.948020,7.681968,7.681968,0.991398,0.983160,0.975493,0.990371,0.997627,0.996705,0.798210,0.952538,0.973755,0.983428,100.000000,
72,44.742274,6.925014,10.557544,0.987654,0.976668,0.969331,0.983953,0.996318,0.995662,0.756897,0.937841,0.966166,0.979440,100.000000,
73,46.289810,6.925014,6.925014,0.990319,0.984912,0.978546,0.991204,0.994140,0.996800,0.798909,0.956942,0.977292,0.986269,100.000000,
74,44.466075,8.395442,8.395442,0.983317,0.970991,0.961166,0.978897,0.993822,0.995879,0.746388,0.937987,0.967533,0.980585,100.000000,
75,45.123730,9.925941,10.935153,0.986373,0.979517,0.971000,0.981967,0.994376,0.996109,0.768092,0.943860,0.970245,0.982055,100.000000,
76,46.787503,7.496150,9.925941,0.992252,0.983852,0.977566,0.992222,0.997614,0.997275,0.806059,0.967705,0.984185,0.990696,100.000000,
77,44.992438,7.194230,7.496150,0.983437,0.973197,0.964498,0.981256,0.992141,0.996478,0.764731,0.943575,0.969341,0.981516,99.859117,
78,46.079502,7.194230,7.194230,0.987964,0.978676,0.968080,0.986477,0.995806,0.996698,0.792109,0.955621,0.976672,0.985700,100.000000,
79,45.771717,4.742896,8.277560,0.988000,0.979478,0.969753,0.987446,0.994864,0.996613,0.790406,0.949736,0.972741,0.983400,98.201461,
80,47.080312,1.848460,4.742896,0.992366,0.984510,0.977758,0.993806,0.997338,0.997278,0.817826,0.966030,0.982345,0.989274,96.403460,
81,47.555665,1.848460,1.848460,0.992453,0.983197,0.980129,0.992808,0.997806,0.997846,0.823632,0.974176,0.987674,0.992862,96.981265,
82,46.824507,4.973935,4.973935,0.990956,0.982496,0.974911,0.991317,0.997138,0.997177,0.815401,0.962789,0.980414,0.988153,99.925724,
83,46.028244,5.070758,5.070758,0.986788,0.979676,0.965555,0.982514,0.996116,0.996750,0.792561,0.953430,0.975516,0.984939,98.606612,
84,47.218734,1.890688,7.776815,0.993431,0.982744,0.979017,0.994783,0.998902,0.997616,0.812972,0.969385,0.984916,0.990867,96.946352,
85,46.557090,1.890688,1.890688,0.989095,0.981442,0.972661,0.988884,0.995536,0.997067,0.803643,0.957812,0.977154,0.985478,95.181349,
86,46.047976,6.327651,6.327651,0.989123,0.980051,0.971025,0.989378,0.995738,0.996605,0.791673,0.950566,0.972454,0.982502,100.000000,
87,46.251706,6.650786,6.650786,0.989989,0.980369,0.971651,0.990094,0.997159,0.996970,0.791726,0.957127,0.977856,0.987012,100.000000,
88,46.607652,7.931174,9.087707,0.988107,0.981447,0.969377,0.987064,0.995328,0.996744,0.803512,0.955661,0.976638,0.985829,100.000000,
89,45.941901,4.991512,7.931174,0.985582,0.976210,0.963641,0.984636,0.994419,0.996712,0.792623,0.950335,0.973581,0.984291,98.096189,
90,47.454611,4.991512,4.991512,0.988428,0.983314,0.971964,0.989859,0.993385,0.997520,0.819785,0.967983,0.984297,0.990675,99.794266,
91,46.012803,8.038402,8.757463,0.984141,0.978979,0.960658,0.981841,0.993061,0.996563,0.793002,0.948926,0.972164,0.982851,100.000000,
92,46.688292,7.617883,8.038402,0.987657,0.982403,0.970730,0.984927,0.994683,0.996979,0.803097,0.957224,0.977458,0.986081,100.000000,
93,45.348488,5.592131,7.617883,0.983932,0.976090,0.961270,0.984104,0.992078,0.996408,0.773215,0.941266,0.967273,0.979108,97.745022,
94,46.687933,5.592131,5.592131,0.987137,0.979349,0.969933,0.986485,0.994024,0.997324,0.797496,0.961373,0.981059,0.988967,99.932008,
95,46.583197,9.070086,9.972812,0.985560,0.981723,0.965847,0.980547,0.994441,0.996552,0.800487,0.954675,0.976655,0.986415,100.000000,
96,45.690791,8.054770,9.070086,0.981975,0.978293,0.957276,0.977180,0.991924,0.996302,0.781784,0.943575,0.969191,0.981322,100.000000,
97,45.975154,8.054770,8.054770,0.984960,0.979082,0.964911,0.982977,0.992934,0.996787,0.786669,0.950400,0.973842,0.983874,100.000000,
98,50.018846,4.601142,36.509453,0.996419,0.994088,0.991144,0.996638,0.998335,0.999091,0.879181,0.984582,0.992506,0.995595,100.000000,
99,46.727835,4.601142,4.601142,0.991652,0.990410,0.982258,0.989608,0.995798,0.997429,0.822835,0.957212,0.975387,0.984273,99.060379,
100,46.007091,10.735648,11.559172,0.991036,0.987330,0.980523,0.989918,0.995660,0.997228,0.801465,0.954127,0.975126,0.984510,100.000000,
101,45.665675,5.309915,10.735648,0.991352,0.987844,0.979545,0.989784,0.996361,0.996686,0.791349,0.948428,0.971804,0.982637,99.535036,
102,48.070943,5.309915,5.309915,0.994424,0.991877,0.987595,0.993292,0.997592,0.998342,0.845835,0.972929,0.985763,0.991506,100.000000,
103,45.929245,4.912407,13.828978,0.992453,0.988475,0.982487,0.991020,0.996964,0.996960,0.801457,0.953218,0.975040,0.985195,99.652065,
104,46.273550,4.912407,4.912407,0.990907,0.986537,0.980400,0.989757,0.995435,0.997358,0.805696,0.959408,0.978653,0.987388,99.676370,
105,44.842246,13.749537,13.749537,0.989252,0.984164,0.975324,0.986421,0.995844,0.996216,0.769654,0.942491,0.969398,0.981764,100.000000,
106,44.922573,5.966052,16.565865,0.987836,0.983101,0.976111,0.985162,0.993823,0.996556,0.778370,0.941308,0.967372,0.980597,99.182685,
107,47.164085,5.966052,5.966052,0.993843,0.987167,0.985262,0.993599,0.997825,0.997957,0.824796,0.970215,0.984997,0.991126,100.000000,
108,44.484738,8.449114,12.500032,0.988673,0.981646,0.975827,0.987587,0.994763,0.996388,0.766802,0.940122,0.967072,0.980009,100.000000,
109,45.560577,8.449114,8.449114,0.991746,0.983607,0.978237,0.990874,0.997568,0.997105,0.792142,0.953981,0.975916,0.985944,100.000000,
110,45.454774,4.425893,8.675035,0.991324,0.983337,0.977566,0.992529,0.996242,0.997102,0.791867,0.951606,0.974044,0.984705,98.697927,
111,46.635419,4.425893,4.425893,0.992862,0.985042,0.983183,0.992916,0.997408,0.997904,0.813840,0.966348,0.982888,0.990117,99.931443,
112,45.129406,6.326634,6.326634,0.990663,0.984821,0.980287,0.990161,0.995491,0.996823,0.785254,0.948863,0.972596,0.984024,100.000000,
