Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,6.514084,10.907183,45.288708,0.997908,0.984399,0.980424,0.959076,0.983505,0.992463,0.776022,0.958900,0.980288,0.989082,100.000000,
43,6.514084,6.514084,45.370772,0.997848,0.985214,0.981995,0.959728,0.983031,0.993542,0.772600,0.958761,0.980344,0.989019,100.000000,
44,13.695920,13.695920,46.128609,0.997903,0.988590,0.984991,0.965633,0.986731,0.996536,0.791621,0.962613,0.982481,0.990563,100.000000,
45,6.846578,14.341790,46.130284,0.998241,0.987159,0.983591,0.963438,0.986447,0.994222,0.801344,0.965457,0.983158,0.990528,100.000000,
46,6.846578,6.846578,45.875288,0.998032,0.986027,0.982711,0.963315,0.985934,0.992815,0.798546,0.961674,0.981157,0.989349,100.000000,
47,8.593461,8.593461,44.210377,0.997331,0.979807,0.976279,0.953673,0.975910,0.990073,0.762790,0.944403,0.971323,0.983432,100.000000,
48,8.021997,8.953465,44.658825,0.997422,0.983623,0.980357,0.952387,0.980962,0.993459,0.765141,0.947501,0.973754,0.985140,100.000000,
49,8.021997,8.021997,44.620607,0.997409,0.977995,0.980428,0.952346,0.973072,0.987149,0.767971,0.945671,0.972020,0.983741,99.957849,
50,10.407051,10.407051,45.152706,0.997193,0.983955,0.984713,0.958264,0.978892,0.993240,0.772142,0.948571,0.974548,0.985623,100.000000,
51,12.207193,12.692225,45.098824,0.997122,0.983543,0.985968,0.956291,0.980495,0.991453,0.766650,0.946711,0.972684,0.983840,100.000000,
52,8.886876,12.207193,44.834807,0.997164,0.975911,0.982907,0.949048,0.971631,0.983263,0.763261,0.944834,0.971093,0.982647,100.000000,
53,8.264277,8.886876,45.176727,0.997365,0.981644,0.983315,0.957562,0.977434,0.989781,0.774212,0.950692,0.974929,0.985293,100.000000,
54,8.264277,8.264277,44.942255,0.997313,0.984841,0.979342,0.961742,0.982678,0.993539,0.765235,0.949309,0.974585,0.985440,100.000000,
55,9.754917,9.754917,44.723347,0.997036,0.983460,0.981487,0.951827,0.980412,0.993579,0.760820,0.943621,0.971624,0.983628,100.000000,
56,8.664452,11.194152,44.128522,0.996772,0.981143,0.975905,0.952940,0.975933,0.992583,0.741753,0.934942,0.966742,0.980837,100.000000,
57,8.664452,8.664452,43.367407,0.996327,0.969149,0.973615,0.946370,0.959489,0.980654,0.731227,0.923638,0.959003,0.976307,97.503191,
58,8.899406,8.899406,44.524651,0.996380,0.977467,0.979931,0.951925,0.967031,0.988704,0.748050,0.931519,0.964526,0.979815,100.000000,
59,12.165732,20.038914,47.732672,0.998188,0.987567,0.988211,0.965641,0.987142,0.993359,0.830911,0.966158,0.983026,0.990409,100.000000,
60,10.610443,12.165732,44.524434,0.996660,0.979060,0.977149,0.951375,0.977898,0.987424,0.757898,0.936025,0.965348,0.978726,100.000000,
61,10.610443,10.610443,44.121833,0.996773,0.976407,0.974225,0.951663,0.970369,0.986576,0.752471,0.930557,0.962228,0.977412,100.000000,
62,10.956891,10.956891,45.336158,0.996800,0.984227,0.983964,0.969813,0.976837,0.991766,0.776711,0.938867,0.967839,0.981391,100.000000,
63,9.612188,16.001425,45.187576,0.996660,0.985042,0.981285,0.974219,0.979052,0.992170,0.771069,0.934402,0.965507,0.980078,100.000000,
64,9.612188,9.612188,44.091763,0.996383,0.976557,0.979058,0.952297,0.970143,0.985735,0.752562,0.923277,0.956633,0.973267,99.889046,
65,15.665566,17.010242,47.034590,0.996693,0.987792,0.987985,0.979999,0.981433,0.993713,0.806091,0.944066,0.970197,0.982181,100.000000,
66,15.665566,15.665566,44.615930,0.996575,0.976655,0.980965,0.946213,0.969817,0.986844,0.760287,0.932669,0.963510,0.977767,100.000000,
67,9.328292,32.340832,47.088876,0.997901,0.987710,0.984391,0.973172,0.983427,0.994440,0.805402,0.966875,0.983856,0.990593,100.000000,
68,6.170446,9.328292,45.772236,0.996989,0.982394,0.982651,0.970047,0.977249,0.988340,0.784233,0.948125,0.971973,0.983069,98.672640,
69,6.170446,6.170446,44.546986,0.996546,0.981995,0.976529,0.963012,0.976985,0.991177,0.751688,0.938134,0.967564,0.981151,98.174442,
70,6.491627,6.491627,44.384897,0.996633,0.984969,0.969737,0.961505,0.984952,0.993926,0.745149,0.939486,0.969165,0.982415,99.379145,
71,7.681968,7.681968,44.790890,0.996746,0.986216,0.973615,0.960613,0.984864,0.995942,0.756313,0.942527,0.970646,0.983014,100.000000,
72,6.925014,10.557544,44.755972,0.996613,0.981892,0.971273,0.953733,0.978643,0.992640,0.749798,0.940678,0.970483,0.983332,99.366790,
73,6.925014,6.925014,44.291802,0.996551,0.977763,0.970772,0.956807,0.974538,0.986799,0.741877,0.936960,0.967705,0.981744,98.199027,
74,8.395442,8.395442,45.039593,0.996914,0.982426,0.971300,0.955636,0.979742,0.992922,0.754793,0.947619,0.974462,0.985705,100.000000,
75,9.925941,10.935153,45.607650,0.997135,0.983791,0.977512,0.964005,0.983207,0.990745,0.770861,0.953007,0.976922,0.987097,100.000000,
76,7.496150,9.925941,45.111546,0.996888,0.983491,0.977023,0.959150,0.981033,0.992163,0.759400,0.947404,0.973654,0.984952,100.000000,
77,7.194230,7.496150,44.731614,0.996904,0.979356,0.970976,0.956635,0.978482,0.987892,0.751355,0.945258,0.972752,0.984806,99.368796,
78,7.194230,7.194230,45.724808,0.997105,0.983212,0.974585,0.959400,0.980244,0.992694,0.775491,0.952578,0.976834,0.986918,100.000000,
79,4.742896,8.277560,45.609847,0.997107,0.981444,0.974057,0.956400,0.979157,0.990807,0.773845,0.951400,0.976158,0.986415,97.156803,
80,1.848460,4.742896,46.051003,0.997678,0.985085,0.977339,0.963114,0.984350,0.993436,0.784192,0.962489,0.982605,0.990487,94.913887,
81,1.848460,1.848460,45.912510,0.997795,0.984015,0.969603,0.965210,0.982354,0.993607,0.782793,0.962885,0.982637,0.990206,94.661882,
82,4.973935,4.973935,46.450660,0.997862,0.989023,0.977612,0.967416,0.991053,0.996423,0.796699,0.965300,0.983844,0.991169,99.890304,
83,5.070758,5.070758,46.671733,0.997836,0.986727,0.977883,0.966219,0.984464,0.995260,0.795972,0.965187,0.983442,0.990293,99.420279,
84,1.890688,7.776815,46.108212,0.997792,0.985730,0.975034,0.967698,0.985279,0.993260,0.781316,0.960668,0.980836,0.988767,94.886743,
85,1.890688,1.890688,46.244239,0.997761,0.984217,0.976597,0.961400,0.984085,0.992403,0.788524,0.960415,0.980724,0.988913,94.562431,
86,6.327651,6.327651,46.398869,0.997684,0.989938,0.977060,0.967734,0.989679,0.998777,0.793146,0.962984,0.982624,0.990454,100.000000,
87,6.650786,6.650786,46.197356,0.997584,0.985317,0.977424,0.964367,0.983630,0.993854,0.787040,0.961238,0.981557,0.989805,100.000000,
88,7.931174,9.087707,46.738218,0.997633,0.984845,0.977315,0.963575,0.982487,0.993671,0.800091,0.963729,0.982913,0.990495,100.000000,
89,4.991512,7.931174,46.497970,0.997605,0.985608,0.978305,0.964410,0.985868,0.993063,0.796679,0.961369,0.981449,0.989271,98.891557,
90,4.991512,4.991512,46.768941,0.997646,0.983361,0.978602,0.963597,0.982595,0.990406,0.801752,0.961812,0.981606,0.989340,98.419050,
91,8.038402,8.757463,46.671648,0.997648,0.983015,0.978479,0.958196,0.981464,0.991715,0.801383,0.961206,0.981061,0.989170,100.000000,
92,7.617883,8.038402,45.757009,0.997273,0.981150,0.974019,0.955073,0.978085,0.991142,0.776606,0.951457,0.976039,0.985830,100.000000,
93,5.592131,7.617883,45.293936,0.997199,0.979209,0.973183,0.958114,0.975193,0.989090,0.768627,0.947476,0.973799,0.984819,97.471996,
94,5.592131,5.592131,45.975969,0.997447,0.981683,0.973951,0.956013,0.980162,0.991313,0.780381,0.955305,0.978520,0.987908,98.503966,
95,9.070086,9.972812,46.709823,0.997382,0.981971,0.979326,0.959830,0.973516,0.992920,0.796342,0.957703,0.979355,0.988495,100.000000,
96,8.054770,9.070086,45.692321,0.997012,0.977081,0.974527,0.949811,0.970797,0.988226,0.776030,0.945530,0.971790,0.983381,99.770039,
97,8.054770,8.054770,45.649458,0.997313,0.982482,0.976332,0.960257,0.978406,0.992245,0.774021,0.948447,0.973654,0.984382,100.000000,
98,4.601142,36.509453,47.543612,0.998656,0.994389,0.990432,0.985029,0.994213,0.998068,0.821837,0.972329,0.986548,0.992391,100.000000,
99,4.601142,4.601142,44.669935,0.997373,0.981966,0.981314,0.961257,0.977817,0.990427,0.771048,0.942912,0.968358,0.980382,96.241160,
100,10.735648,11.559172,43.227450,0.996462,0.985379,0.977501,0.968341,0.979428,0.995627,0.728468,0.927206,0.961298,0.977516,100.000000,
101,5.309915,10.735648,43.079168,0.996069,0.981362,0.975843,0.956873,0.978448,0.991160,0.714992,0.922552,0.958709,0.975676,96.103337,
102,5.309915,5.309915,42.704335,0.995920,0.981229,0.974700,0.958256,0.977319,0.991488,0.707540,0.917339,0.955083,0.973446,95.725613,
103,4.912407,13.828978,43.300364,0.996363,0.985939,0.973533,0.967318,0.985794,0.994046,0.728714,0.928779,0.963577,0.979591,97.156223,
104,4.912407,4.912407,42.354136,0.995880,0.976116,0.965466,0.949625,0.971929,0.988179,0.703534,0.916289,0.955348,0.973853,94.172409,
105,13.749537,13.749537,43.452120,0.995921,0.984613,0.971204,0.959626,0.982092,0.995974,0.725304,0.925136,0.960772,0.977261,100.000000,
