Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,45.267222,6.514084,10.907183,0.985163,0.981272,0.960292,0.984056,0.993209,0.997881,0.775780,0.958247,0.979809,0.988712,100.000000,
43,45.394212,6.514084,6.514084,0.985231,0.982393,0.958461,0.982122,0.994276,0.997841,0.772970,0.958683,0.980219,0.989012,100.000000,
44,46.332623,13.695920,13.695920,0.990312,0.986321,0.972300,0.988399,0.997115,0.998040,0.796356,0.965416,0.983954,0.991233,100.000000,
45,46.225071,6.846578,14.341790,0.987038,0.983478,0.962090,0.986780,0.994154,0.998277,0.803686,0.966317,0.983558,0.990678,100.000000,
46,45.942807,6.846578,6.846578,0.986033,0.982687,0.962178,0.983710,0.994408,0.998059,0.800447,0.962494,0.981596,0.989779,100.000000,
47,44.579765,8.593461,8.593461,0.981752,0.977683,0.956106,0.979984,0.990782,0.997527,0.770281,0.949915,0.974557,0.985481,100.000000,
48,45.106597,8.021997,8.953465,0.986434,0.981207,0.959599,0.982772,0.996198,0.997671,0.775471,0.954692,0.977899,0.987777,100.000000,
49,45.010404,8.021997,8.021997,0.981251,0.981321,0.957718,0.977951,0.989463,0.997619,0.777313,0.952054,0.975691,0.986006,100.000000,
50,45.303722,10.407051,10.407051,0.985450,0.985202,0.960095,0.979423,0.995466,0.997280,0.775662,0.950906,0.975578,0.986020,100.000000,
51,44.889276,12.207193,12.692225,0.981159,0.987126,0.950498,0.975948,0.990156,0.996995,0.761618,0.943999,0.971135,0.982778,100.000000,
52,44.836391,8.886876,12.207193,0.977086,0.983276,0.946008,0.971134,0.986604,0.997152,0.762925,0.944773,0.971090,0.982707,100.000000,
53,45.172586,8.264277,8.886876,0.981435,0.984234,0.956299,0.977702,0.989314,0.997380,0.774134,0.951216,0.975392,0.985764,100.000000,
54,45.180790,8.264277,8.264277,0.984787,0.981529,0.964135,0.982919,0.992116,0.997507,0.771052,0.953040,0.976876,0.986958,100.000000,
55,44.799481,9.754917,9.754917,0.982770,0.984259,0.955168,0.978537,0.991662,0.997133,0.762944,0.945558,0.972790,0.984331,100.000000,
56,44.054765,8.664452,11.194152,0.981373,0.978953,0.953008,0.975540,0.992480,0.996736,0.739960,0.934412,0.966413,0.980809,100.000000,
57,43.214503,8.664452,8.664452,0.968624,0.974465,0.944324,0.959825,0.979727,0.996241,0.727766,0.922126,0.958138,0.975205,97.256189,
58,44.332209,8.899406,8.899406,0.980131,0.982942,0.953914,0.973695,0.989429,0.996169,0.743344,0.928040,0.961965,0.977696,100.000000,
59,47.363651,12.165732,20.038914,0.987397,0.989604,0.968633,0.985949,0.992464,0.997962,0.822639,0.962021,0.980613,0.988816,100.000000,
60,44.207205,10.610443,12.165732,0.977397,0.977408,0.943219,0.975703,0.987257,0.996328,0.750092,0.930509,0.962027,0.976650,100.000000,
61,43.833363,10.610443,10.610443,0.972933,0.974639,0.943397,0.967471,0.983071,0.996489,0.745266,0.925146,0.958758,0.975240,100.000000,
62,44.902458,10.956891,10.956891,0.979742,0.983995,0.955601,0.974807,0.987220,0.996395,0.766072,0.930066,0.962292,0.977738,100.000000,
63,45.182034,9.612188,16.001425,0.982629,0.982391,0.966725,0.978132,0.989296,0.996590,0.770858,0.933852,0.965063,0.979686,100.000000,
64,44.035249,9.612188,9.612188,0.974165,0.980259,0.947173,0.971033,0.981327,0.996333,0.751105,0.922203,0.956034,0.973108,99.325062,
65,46.772276,15.665566,17.010242,0.983177,0.990844,0.965924,0.979245,0.987961,0.996453,0.799149,0.939903,0.967670,0.980609,100.000000,
66,44.693390,15.665566,15.665566,0.976119,0.979892,0.945355,0.969556,0.986391,0.996669,0.762371,0.935275,0.965398,0.979376,100.000000,
67,47.690306,9.328292,32.340832,0.989860,0.986072,0.979919,0.986111,0.995222,0.998152,0.821174,0.971330,0.986230,0.991902,100.000000,
68,46.542865,6.170446,9.328292,0.986349,0.985510,0.975542,0.984123,0.990562,0.997501,0.801265,0.958483,0.978448,0.987228,100.000000,
69,45.001028,6.170446,6.170446,0.984618,0.976271,0.965619,0.982515,0.992714,0.996986,0.763033,0.946146,0.972307,0.983906,99.210505,
70,44.764455,6.491627,6.491627,0.985779,0.971453,0.965892,0.985819,0.993626,0.996948,0.754661,0.946496,0.973230,0.984828,99.959546,
71,45.208660,7.681968,7.681968,0.988309,0.975692,0.966527,0.985523,0.997866,0.997042,0.766129,0.949062,0.974415,0.985111,100.000000,
72,44.886033,6.925014,10.557544,0.982203,0.973734,0.957452,0.978804,0.991739,0.996761,0.753475,0.943389,0.971926,0.984448,99.600006,
73,44.431438,6.925014,6.925014,0.980117,0.971801,0.959915,0.975915,0.989790,0.996715,0.746065,0.940393,0.970125,0.983117,98.942292,
74,44.941741,8.395442,8.395442,0.983319,0.972535,0.961477,0.978079,0.993824,0.996798,0.752984,0.946246,0.973619,0.985156,100.000000,
75,44.987729,9.925941,10.935153,0.982079,0.976799,0.963992,0.978979,0.989722,0.996628,0.757510,0.943752,0.971628,0.984133,100.000000,
76,45.096555,7.496150,9.925941,0.984178,0.977362,0.962959,0.982323,0.991822,0.996837,0.759046,0.947012,0.973672,0.985183,100.000000,
77,44.747696,7.194230,7.496150,0.980210,0.971291,0.960470,0.978511,0.988552,0.996878,0.750749,0.944932,0.972558,0.984780,99.542636,
78,45.641668,7.194230,7.194230,0.983625,0.975556,0.961981,0.981634,0.991914,0.997023,0.773208,0.950664,0.975702,0.986589,100.000000,
79,45.545392,4.742896,8.277560,0.982163,0.974365,0.957931,0.980988,0.990770,0.997073,0.772151,0.950731,0.975568,0.986163,97.264273,
80,45.907238,1.848460,4.742896,0.984523,0.976674,0.962571,0.984438,0.992495,0.997526,0.780409,0.959923,0.981111,0.989440,94.632515,
81,45.919009,1.848460,1.848460,0.984329,0.970168,0.966255,0.984127,0.992755,0.997769,0.782499,0.962292,0.982333,0.990211,94.714716,
82,46.520782,4.973935,4.973935,0.989497,0.977811,0.968570,0.990265,0.997532,0.997918,0.797297,0.965484,0.983836,0.990953,99.977666,
83,46.628000,5.070758,5.070758,0.987101,0.978223,0.963414,0.984338,0.996714,0.997801,0.794762,0.965023,0.983507,0.990649,99.531680,
84,46.184620,1.890688,7.776815,0.986058,0.975907,0.967255,0.986102,0.993384,0.997828,0.782711,0.962163,0.981874,0.989485,95.066920,
85,46.406503,1.890688,1.890688,0.985465,0.976674,0.966034,0.984763,0.993305,0.997862,0.791368,0.962680,0.982072,0.989653,94.961010,
86,46.626153,6.327651,6.327651,0.989987,0.977454,0.968239,0.992630,0.996949,0.997865,0.797357,0.965590,0.984023,0.991402,100.000000,
87,46.357671,6.650786,6.650786,0.986205,0.978515,0.963927,0.984527,0.995052,0.997711,0.790181,0.962334,0.982135,0.990170,100.000000,
88,46.862395,7.931174,9.087707,0.985839,0.977945,0.964534,0.983336,0.994845,0.997722,0.801847,0.964694,0.983339,0.990729,100.000000,
89,46.239052,4.991512,7.931174,0.984433,0.977540,0.964697,0.982557,0.992618,0.997452,0.790708,0.958060,0.979729,0.988683,98.494090,
90,46.234436,4.991512,4.991512,0.980422,0.976232,0.957364,0.976699,0.989942,0.997372,0.789135,0.955455,0.978427,0.988001,97.495418,
91,46.099948,8.038402,8.757463,0.980551,0.976872,0.953006,0.979090,0.989725,0.997300,0.788147,0.953770,0.976794,0.986519,100.000000,
92,45.449482,7.617883,8.038402,0.979488,0.972147,0.953026,0.977193,0.989219,0.997055,0.769270,0.946532,0.973055,0.984046,99.880980,
93,45.048148,5.592131,7.617883,0.978853,0.971608,0.953513,0.977364,0.988651,0.997018,0.762922,0.943774,0.971825,0.983627,97.195632,
94,45.879236,5.592131,5.592131,0.982199,0.972897,0.952505,0.980877,0.993178,0.997395,0.778135,0.954762,0.978355,0.987918,98.605982,
95,46.847084,9.070086,9.972812,0.983249,0.979368,0.959770,0.977695,0.993425,0.997498,0.798469,0.960332,0.981192,0.989612,100.000000,
96,45.792702,8.054770,9.070086,0.978122,0.975941,0.951143,0.971653,0.989200,0.997116,0.778247,0.947859,0.973022,0.984123,100.000000,
97,45.597985,8.054770,8.054770,0.980872,0.975646,0.960675,0.975732,0.990431,0.997285,0.772654,0.948012,0.973469,0.984420,100.000000,
98,47.187573,4.601142,36.509453,0.993266,0.992133,0.981697,0.992475,0.997257,0.998552,0.813329,0.970623,0.985699,0.991817,100.000000,
99,44.534197,4.601142,4.601142,0.981456,0.982974,0.959256,0.978617,0.989085,0.997296,0.766371,0.941856,0.967870,0.980282,96.094771,
100,43.541310,10.735648,11.559172,0.985392,0.978038,0.966079,0.981543,0.995019,0.996652,0.734952,0.932411,0.964571,0.979599,100.000000,
101,43.365014,5.309915,10.735648,0.981708,0.977711,0.958608,0.978848,0.990741,0.996397,0.723165,0.929816,0.963533,0.978949,96.670649,
102,43.163146,5.309915,5.309915,0.982896,0.980129,0.961042,0.979486,0.991709,0.996369,0.718585,0.927499,0.961931,0.977910,96.768251,
103,43.558546,4.912407,13.828978,0.985863,0.975308,0.968420,0.984906,0.993682,0.996525,0.734791,0.932707,0.965517,0.980237,97.289588,
104,42.500082,4.912407,4.912407,0.976522,0.967562,0.947858,0.971993,0.989019,0.996028,0.707794,0.918492,0.956451,0.974860,94.393727,
105,43.475842,13.749537,13.749537,0.983263,0.972802,0.960081,0.978829,0.994532,0.995958,0.725917,0.925411,0.960906,0.977414,100.000000,
106,41.963131,5.966052,16.565865,0.975921,0.966452,0.950233,0.972087,0.987656,0.995568,0.698930,0.911826,0.951684,0.971185,95.024530,
107,43.051600,5.966052,5.966052,0.983960,0.971145,0.962328,0.981947,0.993924,0.996426,0.719283,0.931643,0.965343,0.980191,98.136887,
108,43.102592,8.449114,12.500032,0.984340,0.971716,0.966842,0.984834,0.992143,0.996423,0.724472,0.929981,0.963365,0.978522,100.000000,
109,42.773026,8.449114,8.449114,0.981254,0.967577,0.956571,0.980048,0.991420,0.996230,0.716299,0.927222,0.961990,0.978021,100.000000,
110,42.494537,4.425893,8.675035,0.979607,0.964727,0.951307,0.978683,0.991489,0.996382,0.712102,0.925374,0.961124,0.977832,94.921227,
111,42.179876,4.425893,4.425893,0.977851,0.960506,0.951963,0.976085,0.990455,0.996498,0.707183,0.924494,0.960832,0.977596,94.505949,
112,41.772864,6.326634,6.326634,0.976662,0.964403,0.953337,0.973749,0.988402,0.995869,0.701018,0.913042,0.953168,0.972682,95.801495,
113,43.358614,12.095939,12.095939,0.982842,0.972423,0.959239,0.978288,0.993895,0.995691,0.722610,0.921095,0.958458,0.975612,100.000000,
114,42.632335,10.778772,18.578222,0.977542,0.963339,0.953774,0.972091,0.989741,0.995601,0.707011,0.915192,0.953915,0.972363,100.000000,
115,41.545777,10.778772,10.778772,0.974970,0.960799,0.949510,0.972180,0.986969,0.995309,0.692112,0.906101,0.948396,0.969549,100.000000,
116,42.865828,8.831182,12.919312,0.981788,0.966957,0.957472,0.978318,0.993099,0.996114,0.720903,0.925018,0.961147,0.977582,100.000000,
117,42.012943,8.831182,8.831182,0.975033,0.963040,0.948798,0.971535,0.987333,0.995843,0.700416,0.915439,0.954511,0.973178,98.466967,
118,42.785041,12.356071,13.532072,0.980013,0.968548,0.953519,0.977211,0.991475,0.996061,0.718419,0.923039,0.960057,0.977209,100.000000,
119,42.356528,12.356071,12.356071,0.977548,0.966048,0.950340,0.972579,0.989787,0.995713,0.710566,0.916200,0.955169,0.973845,100.000000,
120,42.520300,15.587546,15.587546,0.977654,0.965313,0.952752,0.972702,0.989766,0.995837,0.715099,0.918931,0.957288,0.975221,100.000000,
121,47.600757,16.744097,40.592358,0.986285,0.983576,0.968195,0.979923,0.995027,0.997780,0.825572,0.965880,0.983119,0.989993,100.000000,
122,45.120651,2.469395,16.744097,0.973982,0.976128,0.943414,0.966348,0.985419,0.996479,0.771787,0.939427,0.968284,0.981109,91.850980,
123,45.088865,2.469395,2.469395,0.975379,0.973170,0.945066,0.967814,0.987197,0.996468,0.773558,0.939101,0.967872,0.980838,92.113171,
124,45.525104,2.927304,12.989826,0.980444,0.972588,0.951029,0.977703,0.991177,0.996985,0.775687,0.948935,0.973953,0.984473,94.386062,
125,44.932748,2.927304,2.927304,0.976429,0.968215,0.953222,0.971581,0.986422,0.996709,0.767118,0.941412,0.968864,0.981417,93.023395,
126,44.826788,4.112645,8.680714,0.977986,0.973010,0.949406,0.972943,0.988886,0.996727,0.767122,0.939578,0.968235,0.981587,94.841103,
127,43.951149,4.112645,4.112645,0.974657,0.968897,0.949233,0.974106,0.983193,0.996439,0.753177,0.931231,0.962925,0.977972,93.571272,
128,45.966803,10.274614,10.274614,0.982574,0.979806,0.965496,0.976281,0.991214,0.996924,0.789417,0.948873,0.973994,0.984835,100.000000,
129,46.994455,12.773004,12.773004,0.983995,0.983454,0.969297,0.974186,0.992643,0.996966,0.817641,0.955537,0.977252,0.986598,100.000000,
130,45.928562,11.434011,15.515168,0.981292,0.973397,0.953300,0.978836,0.991438,0.997277,0.786941,0.954049,0.976814,0.986394,100.000000,
131,45.120501,8.367744,11.434011,0.977163,0.973263,0.948587,0.971466,0.987915,0.997037,0.772387,0.944356,0.970441,0.982141,99.988120,
132,46.180436,8.367744,8.367744,0.983197,0.976899,0.962403,0.975751,0.993394,0.997282,0.792282,0.953864,0.976800,0.986717,100.000000,
133,45.508032,7.629513,13.885359,0.977002,0.971655,0.950496,0.969990,0.988800,0.997065,0.778284,0.945254,0.971895,0.983891,99.297504,
134,45.139677,7.629513,7.629513,0.982884,0.973026,0.959734,0.979454,0.993174,0.997184,0.773339,0.947320,0.973207,0.984771,100.000000,
135,46.896136,9.082648,9.082648,0.986985,0.976650,0.966622,0.985082,0.995855,0.997757,0.811044,0.964775,0.983062,0.990626,100.000000,
136,46.503193,10.357444,11.808927,0.985109,0.978544,0.964848,0.982069,0.993798,0.997546,0.806834,0.959514,0.980146,0.989023,100.000000,
137,47.142374,10.357444,10.357444,0.986807,0.982015,0.967792,0.981873,0.996332,0.997635,0.818847,0.964516,0.982984,0.990470,100.000000,
138,47.244902,12.123613,12.688794,0.987677,0.983158,0.972508,0.984729,0.994827,0.997570,0.826735,0.964139,0.982478,0.989749,100.000000,
139,48.040258,9.276099,12.123613,0.987950,0.983604,0.970931,0.983850,0.995940,0.997878,0.839070,0.971007,0.986498,0.992466,100.000000,
140,47.981151,7.944544,9.276099,0.985143,0.982213,0.971244,0.979196,0.992772,0.997723,0.843801,0.967959,0.983930,0.990443,100.000000,
141,47.211969,5.430312,7.944544,0.985495,0.978493,0.965740,0.982420,0.994048,0.997585,0.823330,0.963694,0.981850,0.989618,99.494719,
142,46.537851,5.430312,5.430312,0.984022,0.980035,0.963577,0.980724,0.992084,0.997397,0.810504,0.958359,0.978683,0.987539,98.832134,
143,46.938830,6.494300,6.494300,0.983508,0.976029,0.964154,0.980246,0.992115,0.997631,0.819237,0.964671,0.982892,0.990300,100.000000,
144,46.598457,7.613257,8.203200,0.984139,0.980037,0.967900,0.980212,0.991671,0.997196,0.813581,0.956827,0.977824,0.987041,100.000000,
145,46.337341,7.613257,7.613257,0.979899,0.974591,0.955451,0.974311,0.990316,0.996993,0.802407,0.952521,0.975589,0.985865,100.000000,
146,46.510003,12.801713,12.801713,0.981880,0.979923,0.969026,0.975501,0.988997,0.997043,0.799718,0.951609,0.975637,0.985923,100.000000,
147,45.877395,9.709337,16.007671,0.981765,0.979769,0.968429,0.972678,0.990382,0.996992,0.782297,0.947704,0.973582,0.984886,100.000000,
148,45.324149,9.709337,9.709337,0.983370,0.973995,0.959739,0.982532,0.991564,0.996911,0.775210,0.944489,0.971008,0.982930,100.000000,
149,46.704453,12.594042,12.594042,0.987577,0.979976,0.970695,0.984177,0.995626,0.997343,0.796558,0.956967,0.978898,0.987953,100.000000,
150,47.256006,13.322880,16.617998,0.985908,0.980643,0.970600,0.983175,0.992916,0.997411,0.813382,0.960408,0.980394,0.988797,100.000000,
151,47.353050,10.013959,13.322880,0.982963,0.980933,0.960421,0.977501,0.992479,0.997418,0.818483,0.961293,0.980653,0.988785,100.000000,
152,47.774162,10.013959,10.013959,0.984699,0.982053,0.970877,0.982897,0.990280,0.997554,0.832177,0.962213,0.980572,0.988379,100.000000,
153,47.753680,2.877832,10.316308,0.986368,0.984186,0.975258,0.981958,0.992976,0.997738,0.835794,0.967278,0.983740,0.990734,96.628687,
154,47.658823,2.877832,2.877832,0.990058,0.983779,0.978018,0.988300,0.996396,0.997578,0.833041,0.965354,0.982554,0.989783,97.296130,
