Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,44.690009,6.514084,10.907183,0.996817,0.984975,0.981426,0.959860,0.983348,0.993299,0.758003,0.948035,0.973565,0.984431,99.803340,
43,44.588187,6.514084,6.514084,0.996483,0.983799,0.982144,0.957204,0.980836,0.992422,0.748846,0.945555,0.972739,0.984278,99.479959,
44,45.454759,13.695920,13.695920,0.996606,0.987938,0.985409,0.967500,0.985214,0.995415,0.771383,0.950816,0.975177,0.985470,100.000000,
45,45.779338,6.846578,14.341790,0.997179,0.988688,0.983402,0.964709,0.988904,0.995714,0.789091,0.960515,0.980022,0.987886,100.000000,
46,45.758860,6.846578,6.846578,0.997127,0.988198,0.984476,0.967530,0.987332,0.994992,0.792439,0.958723,0.979189,0.987782,100.000000,
47,44.871556,8.593461,8.593461,0.996852,0.985065,0.979741,0.962664,0.983338,0.993487,0.771071,0.951303,0.975102,0.985177,100.000000,
48,45.165158,8.021997,8.953465,0.996948,0.987852,0.982793,0.966145,0.986337,0.995177,0.771147,0.953646,0.977118,0.986796,100.000000,
49,44.908947,8.021997,8.021997,0.996797,0.983978,0.982635,0.962461,0.982671,0.990838,0.770601,0.948248,0.973067,0.983869,100.000000,
50,45.601076,10.407051,10.407051,0.996706,0.987360,0.985722,0.966105,0.985760,0.994174,0.779764,0.954330,0.977088,0.986482,100.000000,
51,45.610096,12.207193,12.692225,0.996691,0.987182,0.985908,0.963415,0.985288,0.994574,0.775876,0.953569,0.975928,0.985187,100.000000,
52,45.584876,8.886876,12.207193,0.996823,0.984215,0.982121,0.959532,0.981600,0.992363,0.777100,0.954004,0.975951,0.985313,100.000000,
53,45.560023,8.264277,8.886876,0.996779,0.988131,0.984152,0.966312,0.987207,0.995234,0.779362,0.954303,0.976416,0.985606,100.000000,
54,45.180007,8.264277,8.264277,0.996697,0.987651,0.981298,0.966040,0.987191,0.995207,0.766896,0.951172,0.975148,0.985289,100.000000,
55,45.440423,9.754917,9.754917,0.996795,0.987829,0.984660,0.961604,0.985736,0.996359,0.772609,0.953735,0.976890,0.986282,100.000000,
56,44.873697,8.664452,11.194152,0.996725,0.985551,0.979549,0.959369,0.983376,0.995021,0.754666,0.947593,0.973984,0.984974,100.000000,
57,44.545595,8.664452,8.664452,0.996420,0.981655,0.980603,0.959737,0.979281,0.989828,0.752646,0.941072,0.969171,0.981614,100.000000,
58,45.073623,8.899406,8.899406,0.996150,0.984783,0.982467,0.962889,0.978508,0.994289,0.759013,0.941568,0.969936,0.982443,100.000000,
59,48.490310,12.165732,20.038914,0.998183,0.991141,0.991245,0.972214,0.990347,0.996505,0.845996,0.971667,0.985862,0.991999,100.000000,
60,45.802189,10.610443,12.165732,0.996940,0.986550,0.982184,0.965728,0.981500,0.995755,0.785586,0.954233,0.975765,0.984956,100.000000,
61,44.996205,10.610443,10.610443,0.996746,0.982642,0.978143,0.962597,0.977253,0.991827,0.770197,0.942994,0.969449,0.981604,100.000000,
62,45.923098,10.956891,10.956891,0.996546,0.987059,0.987056,0.969827,0.981244,0.994393,0.788784,0.946349,0.971805,0.983416,100.000000,
63,46.227111,9.612188,16.001425,0.996808,0.989244,0.984930,0.973464,0.988012,0.995206,0.793461,0.949633,0.974515,0.985342,100.000000,
64,45.121743,9.612188,9.612188,0.996473,0.983640,0.981659,0.960424,0.980929,0.991574,0.773354,0.938186,0.965323,0.978194,100.000000,
65,47.425001,15.665566,17.010242,0.996516,0.987079,0.989739,0.978152,0.981947,0.991798,0.815191,0.948567,0.972387,0.983232,100.000000,
66,45.287312,15.665566,15.665566,0.996361,0.982423,0.981302,0.953821,0.978411,0.992126,0.774539,0.942458,0.969011,0.980584,100.000000,
67,49.260837,9.328292,32.340832,0.998392,0.994125,0.989879,0.985710,0.991676,0.998542,0.860715,0.980575,0.990718,0.994454,100.000000,
68,47.673900,6.170446,9.328292,0.997577,0.991203,0.987616,0.980814,0.990350,0.995179,0.831457,0.967346,0.982498,0.989036,100.000000,
69,46.087068,6.170446,6.170446,0.997143,0.989604,0.978293,0.975859,0.988439,0.996353,0.788936,0.960036,0.979714,0.988118,100.000000,
70,45.804142,6.491627,6.491627,0.997119,0.989823,0.975144,0.974639,0.990482,0.996228,0.778829,0.959603,0.980174,0.988804,100.000000,
71,45.824394,7.681968,7.681968,0.996850,0.990381,0.977825,0.970821,0.991386,0.997319,0.780719,0.955769,0.977545,0.986600,100.000000,
72,45.489376,6.925014,10.557544,0.996621,0.987305,0.974700,0.966361,0.987003,0.995245,0.766282,0.951848,0.975915,0.985880,100.000000,
73,44.849333,6.925014,6.925014,0.996295,0.984886,0.972804,0.965418,0.982642,0.994004,0.751974,0.945357,0.972380,0.984170,100.000000,
74,45.364848,8.395442,8.395442,0.996484,0.986520,0.973152,0.964373,0.985429,0.995551,0.761560,0.951908,0.976156,0.986178,100.000000,
75,45.979699,9.925941,10.935153,0.996731,0.986836,0.978155,0.969070,0.984786,0.994609,0.778808,0.958109,0.979258,0.988083,100.000000,
76,45.773362,7.496150,9.925941,0.996651,0.987903,0.978620,0.963783,0.988550,0.995402,0.773069,0.956212,0.977933,0.986949,100.000000,
77,45.502196,7.194230,7.496150,0.996795,0.986469,0.973805,0.966679,0.987298,0.994096,0.765980,0.955224,0.977634,0.986999,100.000000,
78,46.411445,7.194230,7.194230,0.996950,0.989185,0.978644,0.970168,0.988824,0.996478,0.789890,0.960866,0.980623,0.988609,100.000000,
79,46.198602,4.742896,8.277560,0.996864,0.987941,0.977230,0.968297,0.987524,0.995562,0.786550,0.959534,0.980053,0.988579,98.958582,
80,46.160312,1.848460,4.742896,0.997032,0.988057,0.978667,0.967928,0.988614,0.995461,0.784147,0.961840,0.981577,0.989396,95.425210,
81,45.855412,1.848460,1.848460,0.997123,0.985932,0.971355,0.969915,0.985171,0.994209,0.777884,0.960171,0.980330,0.988304,94.815363,
82,46.074888,4.973935,4.973935,0.997071,0.988629,0.978050,0.968119,0.988273,0.996970,0.785698,0.958407,0.979354,0.987905,99.307757,
83,46.259535,5.070758,5.070758,0.997029,0.987606,0.977961,0.965319,0.986379,0.996261,0.784512,0.959441,0.979877,0.987597,99.206626,
84,45.907122,1.890688,7.776815,0.996987,0.988042,0.976009,0.969430,0.989694,0.994775,0.773208,0.956379,0.977729,0.986248,95.036927,
85,45.979116,1.890688,1.890688,0.996906,0.986453,0.977180,0.967884,0.986679,0.993578,0.778539,0.954330,0.976306,0.985471,94.558133,
86,46.091429,6.327651,6.327651,0.996880,0.990254,0.977343,0.969681,0.990683,0.998276,0.782988,0.956925,0.978544,0.987597,100.000000,
87,45.783081,6.650786,6.650786,0.996730,0.986486,0.977248,0.965408,0.985185,0.995142,0.774415,0.954254,0.977362,0.986954,100.000000,
88,46.449997,7.931174,9.087707,0.996882,0.986439,0.976220,0.965565,0.985942,0.994840,0.791186,0.959333,0.980318,0.988621,100.000000,
89,46.318446,4.991512,7.931174,0.996884,0.985868,0.978318,0.963436,0.985401,0.994145,0.790228,0.958462,0.979816,0.988412,98.790981,
90,46.372997,4.991512,4.991512,0.996844,0.984587,0.976877,0.965255,0.982555,0.993001,0.789987,0.956430,0.978286,0.987274,98.344693,
91,46.409420,8.038402,8.757463,0.996836,0.985621,0.978655,0.963363,0.985147,0.993610,0.792599,0.956657,0.977811,0.986356,100.000000,
92,46.066426,7.617883,8.038402,0.996795,0.985248,0.975537,0.964587,0.983984,0.993485,0.780220,0.954910,0.977347,0.985958,100.000000,
93,45.509472,5.592131,7.617883,0.996612,0.983885,0.974890,0.960616,0.984108,0.992438,0.768215,0.948270,0.973583,0.983954,98.415967,
