Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,0.029600,0.029600,42.472950,0.996821,0.987849,0.971950,0.979613,0.988084,0.996590,0.697511,0.964937,0.984808,0.991579,93.393982,
43,3.578854,5.156468,41.697577,0.995891,0.985615,0.971123,0.976108,0.986318,0.994253,0.674315,0.951340,0.977526,0.987089,96.714919,
44,3.578854,3.578854,41.368419,0.995717,0.983640,0.967160,0.974335,0.984551,0.992560,0.667430,0.947714,0.974757,0.984917,95.980148,
45,0.048714,5.982260,41.744784,0.995998,0.985704,0.970337,0.976414,0.986858,0.994035,0.678135,0.953417,0.978523,0.987714,92.351225,
46,0.048714,0.048714,41.961655,0.996206,0.986256,0.971008,0.977274,0.987490,0.994331,0.685104,0.956075,0.979998,0.988640,92.609553,
47,1.927672,5.039608,41.632542,0.996001,0.985384,0.969612,0.975692,0.985555,0.994717,0.671767,0.953452,0.978530,0.987422,94.674382,
48,1.927672,1.927672,41.562772,0.995874,0.984730,0.970137,0.974743,0.984094,0.994438,0.672309,0.950204,0.976453,0.986003,94.316330,
49,0.034804,5.070381,41.450625,0.995794,0.983238,0.966579,0.970901,0.984041,0.993663,0.669604,0.952038,0.977875,0.987227,91.740037,
50,0.034804,0.034804,41.776463,0.996033,0.984733,0.968459,0.973224,0.985865,0.994380,0.677187,0.956339,0.980215,0.988694,92.287360,
51,4.203106,6.851349,41.110713,0.994856,0.982890,0.968030,0.969237,0.983270,0.994041,0.650360,0.948128,0.977233,0.987159,96.877818,
52,4.203106,4.203106,41.314769,0.995266,0.984159,0.968186,0.971443,0.984738,0.995005,0.654980,0.950584,0.978124,0.987443,97.222903,
53,0.014771,6.262307,41.258271,0.995453,0.981768,0.964499,0.968421,0.981496,0.994095,0.654400,0.950810,0.977883,0.987045,91.400404,
54,0.014771,0.014771,41.463064,0.995709,0.982744,0.965825,0.969757,0.982705,0.994604,0.660601,0.952776,0.978912,0.987749,91.709810,
55,3.382472,5.367768,41.983557,0.996073,0.985149,0.970386,0.973734,0.984759,0.995577,0.677570,0.957885,0.981478,0.989597,96.767141,
56,3.382472,3.382472,42.096324,0.996307,0.985534,0.970263,0.973602,0.985502,0.995915,0.681175,0.960387,0.982579,0.990086,96.947086,
57,0.039075,4.443749,42.510326,0.996793,0.986119,0.972825,0.976473,0.985777,0.994761,0.697038,0.964769,0.984767,0.991614,93.032840,
