Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,20.008464,0.000000,0.000000,0.670471,0.597067,0.955215,0.681573,0.623588,0.476852,0.255438,0.299676,0.309960,0.315906,0.000000,
43,25.552604,10.824153,10.824153,0.874173,0.697111,0.945214,0.678175,0.624837,0.685444,0.359739,0.457449,0.503553,0.555034,16.427666,
44,44.281220,0.000000,12.354703,0.996562,0.985036,0.979686,0.958419,0.984773,0.993414,0.739102,0.945270,0.972884,0.984519,91.545548,
45,23.049495,0.000000,0.000000,0.808731,0.571931,0.947037,0.617390,0.483853,0.520627,0.313457,0.383044,0.412957,0.446611,0.000000,
46,18.626898,6.527510,6.527510,0.624549,0.585264,0.962175,0.711569,0.595180,0.453595,0.253132,0.289626,0.292265,0.283368,0.068400,
47,45.014228,6.880975,18.492439,0.997057,0.987190,0.981689,0.962061,0.985965,0.995337,0.759630,0.956964,0.978918,0.987583,100.000000,
48,45.260796,0.000000,6.880975,0.996999,0.988186,0.983702,0.967830,0.987676,0.994877,0.772791,0.956063,0.978364,0.987698,92.729023,
49,21.611196,0.000000,0.000000,0.723043,0.641388,0.949530,0.693753,0.598338,0.579357,0.291348,0.336362,0.349255,0.363482,0.000000,
50,20.995352,8.619913,8.619913,0.724662,0.567901,0.941736,0.658182,0.532434,0.473452,0.287726,0.332807,0.345771,0.357342,0.000000,
51,44.584911,0.000000,13.023421,0.996661,0.984477,0.979768,0.958744,0.984577,0.992490,0.755782,0.946723,0.972986,0.984428,91.411447,
52,20.347665,0.000000,0.000000,0.673576,0.609057,0.940228,0.655125,0.569489,0.540852,0.274381,0.312877,0.319915,0.319761,0.000000,
53,19.036145,10.419323,10.419323,0.638266,0.576231,0.948486,0.725285,0.581669,0.435844,0.277333,0.309174,0.308730,0.298449,0.840750,
54,45.003822,0.000000,16.517630,0.996784,0.983603,0.982116,0.955497,0.981207,0.992356,0.754628,0.953682,0.976702,0.986109,91.543773,
55,21.083948,0.000000,0.000000,0.720610,0.556811,0.948593,0.665191,0.515206,0.455482,0.279535,0.324916,0.337409,0.349881,0.000000,
56,21.712047,8.287188,8.907605,0.733995,0.602518,0.946399,0.698188,0.593123,0.500876,0.289918,0.336063,0.350091,0.363190,1.277452,
57,20.572648,8.287188,8.287188,0.698569,0.568841,0.941610,0.650308,0.541369,0.470657,0.281668,0.324592,0.332889,0.334379,0.000000,
58,44.636885,0.000000,14.620566,0.996688,0.986248,0.979240,0.961164,0.984120,0.995673,0.742949,0.947896,0.974318,0.985534,91.956114,
59,21.294638,0.000000,0.000000,0.720423,0.608258,0.952718,0.742376,0.628329,0.475723,0.285301,0.333890,0.346986,0.354771,0.000000,
60,21.107189,8.684402,8.684402,0.728206,0.482273,0.915921,0.548175,0.383818,0.417600,0.287719,0.338730,0.353314,0.364230,0.000000,
61,47.683512,0.000000,17.112461,0.997849,0.989409,0.988879,0.972955,0.988771,0.994759,0.808570,0.968100,0.984790,0.991599,93.613659,
62,17.879252,0.000000,0.000000,0.623229,0.691549,0.974278,0.810478,0.667766,0.574446,0.302970,0.335008,0.328450,0.306801,5.301895,
63,19.404635,14.436705,16.403652,0.656235,0.659479,0.952387,0.827187,0.673587,0.522545,0.303810,0.334703,0.332898,0.319092,12.718141,
64,44.370236,10.976078,14.436705,0.996410,0.980775,0.974897,0.961397,0.974837,0.990415,0.745152,0.938399,0.967447,0.980755,100.000000,
65,45.136937,0.000000,10.976078,0.996241,0.985022,0.982197,0.963594,0.982695,0.992295,0.762288,0.940500,0.969375,0.982239,91.172246,
66,17.700132,0.000000,0.000000,0.624797,0.638004,0.952008,0.776781,0.658917,0.511739,0.289185,0.312469,0.306614,0.288000,0.000000,
67,20.763865,13.990835,16.006727,0.737397,0.712414,0.955952,0.818076,0.722949,0.612290,0.347741,0.387951,0.392357,0.389075,18.414435,
68,46.505317,0.000000,13.990835,0.996273,0.985438,0.985266,0.972872,0.980402,0.992116,0.781813,0.945380,0.971881,0.983712,91.489287,
69,18.142796,0.000000,0.000000,0.627007,0.587662,0.952713,0.726243,0.590023,0.425904,0.326623,0.355144,0.346258,0.319890,0.000000,
70,13.572691,15.678442,15.678442,0.511234,0.502459,0.859869,0.765761,0.450235,0.367109,0.266214,0.286269,0.279118,0.259685,0.000000,
71,46.989566,6.194690,32.224354,0.997250,0.990308,0.986203,0.980490,0.988638,0.994686,0.807361,0.964484,0.981497,0.988586,100.000000,
72,45.805207,0.000000,6.194690,0.996997,0.990385,0.979759,0.976311,0.990592,0.996286,0.773786,0.959894,0.979867,0.988176,93.323672,
73,22.462821,0.000000,0.000000,0.843925,0.637694,0.916376,0.715956,0.559875,0.603826,0.401185,0.483432,0.505281,0.526941,0.000000,
74,21.737616,6.517228,6.517228,0.818785,0.585685,0.912361,0.680552,0.489568,0.548477,0.392639,0.472600,0.489463,0.503158,0.000000,
75,45.023944,0.000000,14.380939,0.996362,0.985302,0.973462,0.964957,0.982520,0.994177,0.744837,0.949358,0.975081,0.985566,91.790628,
76,22.294258,0.000000,0.000000,0.827135,0.652302,0.945878,0.776269,0.634165,0.568428,0.386532,0.463743,0.483536,0.506525,0.000000,
77,21.161464,6.938627,6.938627,0.794113,0.521173,0.886489,0.625699,0.449632,0.458408,0.360784,0.431443,0.445891,0.457188,0.000000,
78,45.402075,0.000000,15.280179,0.996490,0.986831,0.976923,0.970930,0.985442,0.994046,0.756099,0.954801,0.978264,0.987798,92.447849,
79,20.397758,0.000000,0.000000,0.775241,0.688924,0.933502,0.772575,0.701370,0.603851,0.373777,0.430816,0.433983,0.427522,2.471288,
80,21.723856,7.508988,9.924995,0.819621,0.610097,0.931867,0.752373,0.567448,0.532302,0.384492,0.450963,0.465508,0.478126,0.000000,
81,22.193404,7.508988,7.508988,0.821335,0.589434,0.916994,0.674252,0.484461,0.559223,0.393583,0.465161,0.479962,0.491891,0.000000,
82,45.763874,0.000000,12.200594,0.996622,0.988066,0.975599,0.967407,0.989346,0.995359,0.768772,0.957446,0.979468,0.988485,92.822468,
83,24.538376,0.000000,0.000000,0.890749,0.691448,0.947191,0.775324,0.639230,0.644333,0.454912,0.544743,0.573778,0.602899,5.162813,
84,31.409564,4.644933,4.761575,0.975800,0.864983,0.935676,0.817571,0.823505,0.888144,0.570808,0.728361,0.774292,0.811642,52.677184,
85,45.754760,0.000000,4.644933,0.996864,0.988221,0.976424,0.967670,0.988189,0.996656,0.770203,0.958973,0.980380,0.988548,92.905877,
86,23.644623,0.000000,0.000000,0.874397,0.595353,0.924695,0.688939,0.532901,0.531011,0.419406,0.501883,0.529590,0.560021,0.000000,
87,22.042532,5.150871,5.150871,0.824552,0.497745,0.896450,0.594583,0.418239,0.430884,0.394206,0.461518,0.478439,0.491888,0.000000,
88,45.488148,1.919342,11.835731,0.996911,0.988068,0.973960,0.969508,0.989828,0.995168,0.756795,0.956098,0.978437,0.987066,95.178881,
89,45.592821,0.000000,1.919342,0.996706,0.987003,0.976241,0.967483,0.988717,0.993800,0.762840,0.952836,0.976145,0.985569,92.202207,
90,22.681572,0.000000,0.000000,0.839988,0.514426,0.902689,0.632035,0.421431,0.454238,0.392721,0.463324,0.483955,0.504219,0.000000,
91,22.681272,6.344052,6.344052,0.834460,0.580779,0.933977,0.717628,0.514808,0.503967,0.407610,0.471795,0.485239,0.495341,0.000000,
92,45.961076,0.000000,11.519852,0.996645,0.985543,0.974721,0.964715,0.984391,0.994464,0.772278,0.957761,0.979937,0.988714,92.313555,
93,21.744272,0.000000,0.000000,0.813379,0.575888,0.946151,0.783864,0.545792,0.442346,0.409985,0.460603,0.463591,0.458035,0.000000,
94,23.844045,7.941719,7.941719,0.876971,0.534260,0.920578,0.667341,0.491014,0.432830,0.452579,0.524317,0.543324,0.562037,0.000000,
95,46.027644,8.051340,10.638651,0.996652,0.987005,0.976999,0.963767,0.987175,0.995641,0.775465,0.956010,0.978255,0.986938,100.000000,
96,45.597132,0.000000,8.051340,0.996635,0.983922,0.973202,0.960694,0.983437,0.992643,0.762807,0.953020,0.976535,0.985810,91.572458,
97,21.573367,0.000000,0.000000,0.807472,0.526161,0.940821,0.745727,0.504986,0.384915,0.401156,0.455419,0.463346,0.466116,0.000000,
98,23.684742,7.631553,7.631553,0.863553,0.549436,0.917163,0.647603,0.480072,0.479531,0.438592,0.515595,0.535069,0.551141,0.000000,
99,46.055275,0.000000,11.882112,0.996546,0.984151,0.977352,0.960005,0.981394,0.993929,0.772633,0.954430,0.978032,0.987534,91.821975,
100,20.790470,0.000000,0.000000,0.803695,0.683261,0.938485,0.802594,0.695802,0.574101,0.426572,0.480577,0.481381,0.471630,0.820997,
