Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,46.906045,10.271853,10.271853,0.999066,0.991888,0.987239,0.977180,0.990208,0.997780,0.819232,0.982831,0.992646,0.996337,100.000000,
43,46.530573,14.497715,15.098432,0.998686,0.991045,0.986767,0.972316,0.990838,0.996569,0.814224,0.975035,0.988411,0.993696,100.000000,
44,46.714221,5.531185,14.497715,0.998969,0.989903,0.987111,0.973974,0.989782,0.994535,0.820748,0.978806,0.990321,0.994853,100.000000,
45,46.652551,5.531185,5.531185,0.998870,0.989616,0.986559,0.972659,0.989099,0.994569,0.818396,0.976990,0.989201,0.994091,100.000000,
46,46.711296,10.203266,10.203266,0.999062,0.991398,0.985440,0.973962,0.992091,0.996610,0.816523,0.982196,0.992056,0.995882,100.000000,
47,47.309342,10.698159,13.333371,0.998988,0.991979,0.988958,0.974245,0.991741,0.997159,0.834277,0.979734,0.990464,0.994841,100.000000,
48,46.726897,10.698159,10.698159,0.998999,0.991540,0.986776,0.974772,0.991574,0.997004,0.816880,0.980931,0.991573,0.995691,100.000000,
49,45.943008,13.715060,13.715060,0.998626,0.988763,0.985059,0.969925,0.986853,0.995585,0.799307,0.969932,0.986060,0.992571,100.000000,
50,46.872881,10.830395,15.097853,0.998913,0.992628,0.987326,0.974703,0.991910,0.998654,0.817611,0.979688,0.991206,0.995417,100.000000,
51,45.797647,9.563633,10.830395,0.998746,0.986583,0.983831,0.972230,0.983904,0.992903,0.797929,0.970692,0.985870,0.992346,100.000000,
52,46.746654,9.563633,9.563633,0.999024,0.992176,0.986349,0.974585,0.991661,0.997917,0.812279,0.981821,0.991879,0.995797,100.000000,
53,46.149942,15.459180,15.747079,0.998567,0.990673,0.986706,0.967736,0.989003,0.998328,0.797875,0.972417,0.987791,0.993818,100.000000,
54,46.856742,5.845670,15.459180,0.998970,0.991959,0.989495,0.972856,0.991903,0.997365,0.822708,0.979046,0.990613,0.995058,100.000000,
55,46.726236,5.845670,5.845670,0.998898,0.991164,0.987912,0.974875,0.991465,0.996073,0.819149,0.977879,0.989705,0.994280,100.000000,
56,46.828243,8.561960,10.019311,0.999143,0.991770,0.986874,0.976598,0.991506,0.997005,0.817603,0.983239,0.992487,0.995959,100.000000,
57,47.376612,7.487193,8.561960,0.999063,0.991949,0.988438,0.977396,0.991246,0.997069,0.835128,0.981665,0.991633,0.995426,100.000000,
58,47.101200,7.462021,7.487193,0.999134,0.993088,0.987788,0.978113,0.994074,0.997672,0.825583,0.984116,0.992958,0.996383,100.000000,
59,47.270991,7.462021,7.462021,0.999074,0.992234,0.988390,0.976076,0.992007,0.997667,0.835574,0.981476,0.991538,0.995412,100.000000,
60,45.963062,7.401073,10.153257,0.998780,0.988197,0.985155,0.962650,0.985608,0.996560,0.805565,0.974705,0.988708,0.994040,100.000000,
61,47.202310,7.401073,7.401073,0.999122,0.992566,0.986808,0.977900,0.994064,0.996874,0.827356,0.983859,0.992832,0.996259,100.000000,
62,46.472580,8.185934,8.185934,0.998801,0.991903,0.987051,0.970103,0.992867,0.997806,0.815094,0.975878,0.988984,0.994184,100.000000,
63,47.365452,5.691998,11.188080,0.999053,0.991333,0.989339,0.974939,0.990158,0.996724,0.835920,0.980885,0.991233,0.995328,100.000000,
64,46.429276,5.691998,5.691998,0.998822,0.987624,0.985214,0.968859,0.986092,0.994481,0.814965,0.974765,0.988263,0.993586,100.000000,
65,47.033400,6.956398,6.956398,0.999048,0.992842,0.986893,0.975822,0.994007,0.997998,0.823967,0.982639,0.992545,0.996228,100.000000,
66,47.252410,10.011740,10.011740,0.998926,0.992499,0.988132,0.974589,0.992404,0.998234,0.831690,0.978792,0.990271,0.994692,100.000000,
67,46.603028,10.562923,12.272244,0.998689,0.991716,0.987872,0.971536,0.990310,0.998176,0.812915,0.973983,0.988133,0.993618,100.000000,
68,47.131003,10.316021,10.562923,0.999059,0.991953,0.985899,0.976188,0.992624,0.997162,0.824704,0.980694,0.991255,0.995271,100.000000,
69,47.337813,10.316021,10.316021,0.998915,0.991175,0.988443,0.972851,0.989167,0.997122,0.826728,0.978113,0.990071,0.994740,100.000000,
70,47.296680,14.310592,14.945461,0.999062,0.992454,0.987009,0.973768,0.993048,0.998025,0.821314,0.983017,0.992661,0.996321,100.000000,
71,48.015546,9.954528,14.310592,0.999086,0.992412,0.988655,0.975311,0.992837,0.997164,0.844661,0.981860,0.991573,0.995439,100.000000,
72,47.187455,8.479404,9.954528,0.999177,0.991207,0.984612,0.976744,0.991622,0.996286,0.822415,0.983696,0.992825,0.996139,100.000000,
73,46.496584,8.479404,8.479404,0.998779,0.987294,0.984043,0.970454,0.984635,0.993865,0.812654,0.972714,0.987028,0.992976,100.000000,
74,47.655353,8.234065,9.409837,0.999131,0.991519,0.985908,0.973626,0.992154,0.996889,0.840398,0.981607,0.991479,0.995406,100.000000,
75,47.396594,4.320436,8.234065,0.999062,0.991701,0.985571,0.977866,0.991999,0.996567,0.833948,0.980613,0.991051,0.995175,100.000000,
76,47.413508,4.320436,4.320436,0.999244,0.991526,0.984930,0.978178,0.991262,0.996705,0.831506,0.984048,0.992846,0.996255,100.000000,
77,47.723224,7.032602,7.837105,0.999143,0.992294,0.986622,0.978696,0.991072,0.997792,0.841093,0.982097,0.991876,0.995645,100.000000,
78,47.204590,2.675881,7.032602,0.999014,0.990834,0.984688,0.974601,0.990995,0.996530,0.830193,0.979489,0.990679,0.995171,98.056514,
79,47.441900,1.908268,2.675881,0.999172,0.991823,0.985405,0.979354,0.991600,0.996894,0.832147,0.982426,0.992000,0.995714,97.382871,
80,47.321641,1.908268,1.908268,0.999049,0.989512,0.984361,0.974280,0.989091,0.995317,0.831841,0.979576,0.990710,0.994942,96.745700,
81,46.904209,5.697701,5.697701,0.998801,0.990983,0.986387,0.970561,0.988707,0.998183,0.819418,0.975346,0.988611,0.993907,100.000000,
82,47.145667,13.031370,13.031370,0.999022,0.991911,0.986391,0.974290,0.991823,0.997843,0.819087,0.980886,0.991605,0.995513,100.000000,
83,47.705534,14.771523,15.067990,0.998932,0.993664,0.989454,0.975630,0.993342,0.999850,0.834366,0.978401,0.990150,0.994814,100.000000,
84,47.871910,13.107355,14.771523,0.999140,0.993315,0.989292,0.976117,0.994377,0.998162,0.834677,0.983853,0.992930,0.996293,100.000000,
85,46.863613,4.337115,13.107355,0.998969,0.987143,0.987591,0.969117,0.985156,0.993094,0.821857,0.975143,0.987961,0.993269,99.090050,
86,47.967214,4.337115,4.337115,0.999166,0.991519,0.989554,0.978347,0.991917,0.995024,0.838171,0.983171,0.992335,0.995813,100.000000,
87,46.512795,11.559252,15.421791,0.998653,0.991781,0.987628,0.971030,0.991871,0.998255,0.802850,0.973249,0.988470,0.994246,100.000000,
88,46.785782,4.630928,11.559252,0.998882,0.989251,0.985879,0.973656,0.988268,0.994924,0.815260,0.976061,0.988863,0.993892,100.000000,
89,46.783739,4.630928,4.630928,0.998832,0.990073,0.986009,0.971148,0.989839,0.996083,0.816080,0.975787,0.988829,0.994028,100.000000,
90,46.967550,4.529619,10.824153,0.999088,0.990237,0.986147,0.973082,0.990451,0.995673,0.818572,0.980801,0.991387,0.995476,100.000000,
91,46.585615,4.529619,4.529619,0.998761,0.990349,0.985929,0.970390,0.989836,0.996984,0.815393,0.975074,0.988819,0.994061,100.000000,
92,46.817203,6.527510,10.918322,0.998824,0.990376,0.986738,0.971382,0.989056,0.996954,0.814406,0.976901,0.989582,0.994464,100.000000,
93,45.535014,6.527510,6.527510,0.998431,0.983787,0.982952,0.960743,0.978662,0.992457,0.775582,0.965291,0.984166,0.991516,100.000000,
94,47.152610,13.698309,13.698309,0.998838,0.992836,0.987530,0.976746,0.993749,0.997947,0.810553,0.979605,0.991213,0.995434,100.000000,
95,45.558994,6.880975,14.354288,0.998618,0.986435,0.982308,0.967175,0.984582,0.993155,0.781258,0.966015,0.983654,0.990609,100.000000,
96,46.885277,6.880975,6.880975,0.998855,0.991231,0.988477,0.975010,0.989914,0.996893,0.817142,0.977487,0.989564,0.994074,100.000000,
97,46.179782,8.619913,8.619913,0.998826,0.986426,0.981836,0.964609,0.985486,0.994052,0.807947,0.972339,0.986663,0.992218,100.000000,
98,47.557989,8.049782,8.978708,0.999175,0.992335,0.987348,0.973373,0.993161,0.997732,0.826558,0.983533,0.992624,0.995957,100.000000,
99,46.671090,8.049782,8.049782,0.998868,0.987155,0.985340,0.968242,0.986791,0.992906,0.815447,0.973771,0.987413,0.992957,100.000000,
100,47.566740,10.419323,10.419323,0.998957,0.991094,0.989560,0.975895,0.990197,0.995916,0.828980,0.977875,0.990221,0.994993,100.000000,
101,46.826849,12.220313,12.703433,0.998739,0.989272,0.987333,0.965718,0.988111,0.996378,0.813269,0.973910,0.988197,0.993665,100.000000,
102,47.613597,8.907605,12.220313,0.999149,0.990727,0.985778,0.969911,0.991395,0.996836,0.827009,0.982513,0.992108,0.995777,100.000000,
103,47.814189,8.287188,8.907605,0.998992,0.989097,0.987935,0.971882,0.987164,0.994885,0.837098,0.977361,0.989265,0.994284,100.000000,
104,47.187144,8.287188,8.287188,0.998945,0.988796,0.985824,0.971206,0.986583,0.995430,0.818470,0.976641,0.989375,0.994465,100.000000,
105,47.568481,9.771993,9.771993,0.998931,0.987340,0.985780,0.968809,0.984304,0.994030,0.828572,0.976471,0.988948,0.994026,100.000000,
106,47.200607,8.684402,11.216228,0.999052,0.988713,0.983191,0.966651,0.987586,0.996438,0.813451,0.979513,0.990867,0.995233,100.000000,
