Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,0.000000,0.000000,20.008281,0.670527,0.595082,0.957354,0.682374,0.613961,0.477497,0.255188,0.299249,0.309637,0.315792,0.000000,
43,10.824153,10.824153,25.556984,0.874302,0.701379,0.944733,0.681697,0.627485,0.691992,0.360257,0.457601,0.503794,0.555296,17.081964,
44,0.000000,12.354703,44.777863,0.997710,0.984811,0.979579,0.958398,0.984390,0.993197,0.756072,0.955854,0.978639,0.987989,92.046175,
45,0.000000,0.000000,23.052984,0.809142,0.573209,0.947034,0.627142,0.480014,0.522897,0.314065,0.383412,0.413351,0.446930,0.000000,
46,6.527510,6.527510,18.628128,0.624689,0.584971,0.961730,0.711891,0.591423,0.455027,0.253033,0.289384,0.292065,0.283270,0.050219,
47,6.880975,18.492439,45.115234,0.997718,0.985390,0.982726,0.962692,0.982838,0.992995,0.766252,0.956054,0.978009,0.987134,100.000000,
48,0.000000,6.880975,45.111253,0.997547,0.985579,0.986124,0.961981,0.981882,0.993758,0.772561,0.953083,0.976409,0.986502,91.972894,
49,0.000000,0.000000,21.617041,0.723312,0.643600,0.951668,0.697326,0.601447,0.580714,0.291237,0.336385,0.349329,0.363485,0.027640,
50,8.619913,8.619913,20.995010,0.725258,0.568155,0.943751,0.666615,0.533882,0.470349,0.287660,0.332732,0.345898,0.357761,0.000000,
51,0.000000,13.023421,44.381147,0.997271,0.979552,0.982876,0.954512,0.974794,0.988265,0.754204,0.945546,0.972223,0.983891,90.269184,
52,0.000000,0.000000,20.349827,0.674182,0.610433,0.942283,0.657499,0.573617,0.540217,0.274337,0.313158,0.320199,0.320199,0.000000,
53,10.419323,10.419323,19.040320,0.638747,0.576810,0.949732,0.720732,0.582689,0.437311,0.278108,0.309644,0.309142,0.298934,0.877157,
54,0.000000,16.517630,44.379852,0.997005,0.976457,0.982881,0.944827,0.972241,0.985135,0.740454,0.943702,0.970968,0.982711,89.460096,
55,0.000000,0.000000,21.097415,0.721069,0.557634,0.952296,0.663829,0.519222,0.454419,0.280147,0.325244,0.337800,0.350414,0.000000,
56,8.287188,8.907605,21.718885,0.734465,0.599781,0.946225,0.694506,0.594751,0.495373,0.290185,0.335906,0.350047,0.363491,0.962922,
57,8.287188,8.287188,20.576090,0.699049,0.570697,0.942781,0.654282,0.550985,0.467742,0.282280,0.324821,0.333037,0.334648,0.000000,
58,0.000000,14.620566,44.103548,0.997050,0.984042,0.977761,0.954064,0.980038,0.995565,0.734456,0.940605,0.970005,0.982993,91.073746,
59,0.000000,0.000000,21.324849,0.721362,0.614799,0.952443,0.756944,0.631655,0.483637,0.286151,0.334497,0.347685,0.355450,0.000000,
60,8.684402,8.684402,21.111475,0.728725,0.482798,0.915959,0.547635,0.386020,0.417541,0.288129,0.339086,0.353702,0.364755,0.000000,
61,0.000000,17.112461,46.743222,0.997467,0.984336,0.989336,0.962860,0.983175,0.989573,0.784715,0.956290,0.978394,0.987757,91.893708,
62,0.000000,0.000000,17.884917,0.623151,0.674744,0.977486,0.788603,0.622153,0.568875,0.302567,0.334830,0.328382,0.306850,3.222842,
63,14.436705,16.403652,19.415104,0.656344,0.659072,0.956196,0.827961,0.672387,0.521035,0.303569,0.334780,0.333125,0.319491,12.669369,
64,10.976078,14.436705,43.535345,0.996223,0.974054,0.973052,0.952424,0.963922,0.985266,0.726373,0.924237,0.959015,0.975740,100.000000,
65,0.000000,10.976078,44.469276,0.996146,0.979688,0.984239,0.953772,0.973996,0.987956,0.747721,0.928140,0.961754,0.977497,89.293206,
66,0.000000,0.000000,17.704023,0.625112,0.638033,0.955066,0.785560,0.655269,0.510759,0.289128,0.312470,0.306659,0.288132,0.000000,
67,13.990835,16.006727,20.776665,0.737504,0.715466,0.959175,0.816924,0.717714,0.620937,0.347092,0.387855,0.392428,0.389201,18.855497,
68,0.000000,13.990835,46.463089,0.996713,0.983798,0.989211,0.967134,0.979356,0.989489,0.778983,0.944264,0.971146,0.983069,91.049804,
69,0.000000,0.000000,18.143334,0.626410,0.592967,0.953961,0.732811,0.594352,0.432746,0.326262,0.354976,0.346191,0.319714,0.000000,
70,15.678442,15.678442,13.574356,0.511400,0.496342,0.858973,0.753152,0.445360,0.360654,0.266161,0.286370,0.279192,0.259774,0.000000,
71,6.194690,32.224354,45.474371,0.996869,0.982328,0.980045,0.964476,0.980210,0.988641,0.766211,0.948800,0.972851,0.983626,98.754600,
72,0.000000,6.194690,44.359647,0.996510,0.982265,0.975396,0.962490,0.979571,0.990616,0.734649,0.941264,0.970159,0.982784,90.682150,
73,0.000000,0.000000,22.463517,0.844521,0.638002,0.912875,0.709525,0.558499,0.607730,0.400005,0.483404,0.505386,0.527181,0.000000,
74,6.517228,6.517228,21.733920,0.819018,0.587312,0.910209,0.674920,0.493587,0.551375,0.390860,0.471931,0.488906,0.502899,0.000000,
75,0.000000,14.380939,44.074750,0.996064,0.979354,0.968091,0.948859,0.975791,0.990965,0.720590,0.933894,0.966552,0.980502,89.710063,
76,0.000000,0.000000,22.315365,0.828035,0.641096,0.945814,0.777162,0.616185,0.555293,0.385400,0.463993,0.483911,0.506943,0.000000,
77,6.938627,6.938627,21.156248,0.794124,0.512552,0.883952,0.609890,0.439658,0.451276,0.359617,0.431209,0.445650,0.456866,0.000000,
78,0.000000,15.280179,44.943996,0.996692,0.981070,0.971779,0.960991,0.980769,0.988651,0.741923,0.947158,0.973959,0.985004,90.777701,
79,0.000000,0.000000,20.413237,0.775757,0.687465,0.934583,0.767578,0.691745,0.607165,0.371855,0.430549,0.433697,0.427240,2.289921,
80,7.508988,9.924995,21.742177,0.820077,0.608808,0.930123,0.741479,0.571538,0.530537,0.383426,0.450875,0.465567,0.478169,0.000000,
81,7.508988,7.508988,22.197348,0.821589,0.590999,0.914852,0.668518,0.486368,0.563376,0.392836,0.465094,0.480129,0.492223,0.000000,
82,0.000000,12.200594,45.217329,0.996895,0.981256,0.972535,0.955201,0.980844,0.990098,0.755124,0.949312,0.975386,0.986332,90.980707,
83,0.000000,0.000000,24.554832,0.891021,0.692203,0.944195,0.775956,0.643594,0.643864,0.455001,0.545025,0.574160,0.603362,5.294305,
84,4.644933,4.761575,31.420631,0.976157,0.863969,0.935208,0.819668,0.823911,0.885263,0.572768,0.730355,0.775787,0.812638,52.566723,
85,0.000000,4.644933,46.340539,0.997809,0.989150,0.976701,0.968453,0.990873,0.996720,0.783849,0.967041,0.984977,0.991682,93.582496,
86,0.000000,0.000000,23.660462,0.874483,0.596421,0.924294,0.695845,0.553313,0.519164,0.419337,0.501977,0.529920,0.560396,0.000000,
87,5.150871,5.150871,22.037353,0.824404,0.499687,0.895933,0.591684,0.417421,0.436497,0.393943,0.461417,0.478549,0.492128,0.000000,
88,1.919342,11.835731,45.752553,0.997635,0.985532,0.973591,0.965609,0.985666,0.993494,0.763899,0.961015,0.981495,0.989508,94.974063,
89,0.000000,1.919342,45.980615,0.997623,0.984921,0.975178,0.963076,0.984439,0.993516,0.773684,0.960824,0.981227,0.989279,92.291348,
90,0.000000,0.000000,22.682491,0.840113,0.515650,0.903120,0.624967,0.426832,0.455385,0.391940,0.462986,0.483876,0.504548,0.000000,
91,6.344052,6.344052,22.686916,0.834657,0.580900,0.938230,0.716598,0.516186,0.502732,0.406963,0.471584,0.485173,0.495311,0.000000,
92,0.000000,11.519852,46.447078,0.997563,0.984711,0.974540,0.960854,0.984575,0.993723,0.782980,0.964355,0.983528,0.990981,92.490083,
93,0.000000,0.000000,21.752903,0.813539,0.576915,0.944880,0.778525,0.554494,0.441508,0.409966,0.460688,0.463589,0.458000,0.000000,
94,7.941719,7.941719,23.843046,0.877245,0.532893,0.920931,0.670470,0.501085,0.423238,0.452637,0.524342,0.543577,0.562716,0.000000,
95,8.051340,10.638651,46.004564,0.997218,0.981664,0.977319,0.958014,0.978785,0.990761,0.777286,0.956147,0.978449,0.987296,100.000000,
96,0.000000,8.051340,45.697018,0.997247,0.982830,0.972261,0.957933,0.979865,0.993270,0.766286,0.954142,0.977624,0.987172,91.493402,
97,0.000000,0.000000,21.580021,0.807277,0.522724,0.938818,0.731617,0.507261,0.380842,0.400363,0.454948,0.462922,0.465868,0.000000,
98,7.631553,7.631553,23.689180,0.863776,0.557262,0.917132,0.654821,0.484969,0.491164,0.438600,0.515405,0.534978,0.551361,0.000000,
99,0.000000,11.882112,46.542562,0.997413,0.981801,0.977278,0.959421,0.976329,0.991852,0.784127,0.960848,0.981492,0.989574,91.643577,
100,0.000000,0.000000,20.799138,0.804008,0.678534,0.939938,0.803596,0.686624,0.568378,0.426246,0.480466,0.481421,0.471745,0.159218,
101,9.081613,9.081613,22.055544,0.821071,0.567088,0.937261,0.731100,0.530761,0.451802,0.439897,0.503967,0.512878,0.512561,0.000000,
102,0.000000,35.080341,46.751121,0.998468,0.991698,0.985461,0.977088,0.991524,0.997400,0.798713,0.968856,0.984848,0.991126,94.083866,
103,0.000000,0.000000,24.778071,0.890283,0.817913,0.941059,0.798395,0.767951,0.823046,0.436140,0.553845,0.589648,0.616360,26.656289,
104,4.622111,4.622111,18.616560,0.711706,0.664760,0.912638,0.694448,0.598544,0.638644,0.310018,0.359243,0.366880,0.363551,4.917230,
